VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-09-01 00:10:53,2019-09-01 00:23:46,N,1,65,189,5,2.00,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1,0
2,2019-09-01 00:31:22,2019-09-01 00:44:37,N,1,97,225,5,3.20,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2019-09-01 00:50:24,2019-09-01 01:03:20,N,1,37,61,5,2.99,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2019-09-01 00:27:06,2019-09-01 00:33:22,N,1,145,112,1,1.73,7.5,0.5,0.5,1.5,0,,0.3,10.3,1,1,0
2,2019-09-01 00:43:23,2019-09-01 00:59:54,N,1,112,198,1,3.42,14,0.5,0.5,3.06,0,,0.3,18.36,1,1,0
2,2019-09-01 00:55:37,2019-09-01 01:17:02,N,1,7,41,1,6.26,21,0.5,0.5,0,6.12,,0.3,28.42,2,1,0
2,2019-09-01 00:28:55,2019-09-01 00:52:09,N,1,33,37,1,4.34,18,0.5,0.5,3.86,0,,0.3,23.16,1,1,0
1,2019-09-01 00:03:13,2019-09-01 00:03:32,N,1,55,55,1,1.20,2.5,0.5,0.5,0,0,,0.3,3.8,3,1,0
1,2019-09-01 00:15:28,2019-09-01 00:43:22,N,1,55,89,1,.00,22.2,0,0.5,0,0,,0.3,23,1,1,0
2,2019-09-01 00:29:16,2019-09-01 00:30:15,N,1,17,17,1,.14,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
1,2019-09-01 00:01:43,2019-09-01 00:13:13,N,1,129,7,1,1.90,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
1,2019-09-01 00:29:57,2019-09-01 00:57:26,N,1,179,215,1,.00,30.2,0,0.5,0,0,,0.3,31,1,1,0
2,2019-09-01 00:19:22,2019-09-01 00:46:01,N,1,129,171,5,6.08,22,0.5,0.5,0,0,,0.3,23.3,2,1,0
2,2019-09-01 00:39:37,2019-09-01 00:48:50,N,1,129,129,1,.86,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2019-09-01 00:13:37,2019-09-01 00:26:46,N,1,74,163,1,3.59,13,0.5,0.5,5.12,0,,0.3,22.17,1,1,2.75
1,2019-09-01 00:35:43,2019-09-01 00:47:21,N,1,7,83,1,2.10,9.5,1,0.5,1.7,0,,0.3,13,1,1,0
2,2019-09-01 00:24:20,2019-09-01 00:32:35,N,1,42,116,1,.86,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2019-09-01 00:45:46,2019-09-01 00:54:31,N,1,92,70,1,2.59,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,2019-09-01 00:04:52,2019-09-01 00:26:44,N,1,83,202,1,3.92,16.5,0.5,0.5,0,0,,0.3,17.8,2,1,0
2,2019-09-01 00:13:57,2019-09-01 00:34:04,N,1,223,137,1,5.05,18.5,0.5,0.5,0,0,,0.3,22.55,2,1,2.75
2,2019-09-01 00:58:19,2019-09-01 01:07:00,N,1,7,179,1,1.43,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
1,2019-09-01 00:07:27,2019-09-01 00:20:34,N,1,97,148,1,2.80,12.5,3.25,0.5,0,0,,0.3,16.55,2,1,2.75
1,2019-09-01 00:30:59,2019-09-01 00:39:20,N,1,130,28,1,1.90,8,0.5,0.5,1.85,0,,0.3,11.15,1,1,0
1,2019-09-01 00:56:55,2019-09-01 01:09:41,Y,1,130,219,1,3.00,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2019-09-01 01:00:25,2019-09-01 01:12:10,N,1,74,42,1,2.28,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,0
2,2019-09-01 00:01:57,2019-09-01 00:48:20,N,1,61,49,1,5.14,29.5,0.5,0.5,0,0,,0.3,30.8,2,1,0
2,2019-09-01 00:07:09,2019-09-01 00:16:13,N,1,74,41,1,1.35,7.5,0.5,0.5,2.2,0,,0.3,11,1,1,0
2,2019-09-01 00:33:08,2019-09-01 00:45:42,N,1,74,263,1,2.07,10.5,0.5,0.5,2.91,0,,0.3,17.46,1,1,2.75
1,2019-09-01 00:18:46,2019-09-01 00:39:09,N,1,129,171,2,6.60,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,0
2,2019-09-01 00:01:54,2019-09-01 00:12:47,N,1,75,162,1,3.18,11.5,0.5,0.5,3.11,0,,0.3,18.66,1,1,2.75
2,2019-09-01 00:41:15,2019-09-01 01:16:29,N,1,74,67,1,16.54,48,0.5,0.5,10.41,0,,0.3,62.46,1,1,2.75
1,2019-09-01 00:15:33,2019-09-01 00:17:34,N,1,41,41,1,.40,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
2,2019-09-01 00:23:29,2019-09-01 00:38:00,N,1,93,134,1,4.84,16,0.5,0.5,0,0,,0.3,17.3,2,1,0
2,2019-09-01 00:05:14,2019-09-01 00:27:03,N,1,93,226,1,8.91,28,0.5,0.5,7.32,0,,0.3,36.62,1,1,0
2,2019-09-01 00:12:32,2019-09-01 00:38:24,N,1,80,188,3,5.22,21.5,0.5,0.5,5.7,0,,0.3,28.5,1,1,0
